,homo_ref_count,homo_alt_count,hetero_count,miss_count,homo_ref_count_perc,homo_alt_count_perc,hetero_count_perc,miss_count_perc
RIL_1,0,119,0,0,0.0,1.0,0.0,0.0
RIL_2,119,0,0,0,1.0,0.0,0.0,0.0
RIL_3,106,0,5,8,0.8907563025210085,0.0,0.04170463306932081,0.06670420949918135
RIL_4,114,2,0,3,0.957983193277311,0.01667250437828371,0.0,0.0250052811783866
RIL_5,0,119,0,0,0.0,1.0,0.0,0.0
RIL_6,119,0,0,0,1.0,0.0,0.0,0.0
RIL_7,0,117,1,1,0.0,0.9831932773109243,0.008334500630340384,0.008333921723628856
RIL_10,40,12,43,24,0.33613445378151263,0.10055629885219351,0.3600233707835865,0.20033938472865503
RIL_11,117,0,1,1,0.9831932773109243,0.0,0.008334500630340384,0.008333921723628856
RIL_12,119,0,0,0,1.0,0.0,0.0,0.0
RIL_13,0,117,1,1,0.0,0.9831932773109243,0.008334500630340384,0.008333921723628856
RIL_14,119,0,0,0,1.0,0.0,0.0,0.0
RIL_16,0,119,0,0,0.0,1.0,0.0,0.0
RIL_18,119,0,0,0,1.0,0.0,0.0,0.0
RIL_19,119,0,0,0,1.0,0.0,0.0,0.0
RIL_20,1,117,1,0,0.008403361344537815,0.9831238525631973,0.008333921762803382,0.0
RIL_21,116,0,1,2,0.9747899159663865,0.0,0.008335084401484906,0.01666901074625176
RIL_22,114,0,5,0,0.957983193277311,0.0,0.04168126094570928,0.0
RIL_23,39,75,1,4,0.3277310924369748,0.6285211267605634,0.008336372481633452,0.033343172739204834
RIL_24,116,1,1,1,0.9747899159663865,0.008335084401484906,0.00833450537312588,0.008333926465426108
RIL_25,119,0,0,0,1.0,0.0,0.0,0.0
RIL_26,0,119,0,0,0.0,1.0,0.0,0.0
RIL_27,93,24,0,2,0.7815126050420168,0.200364809877929,0.0,0.01666918407255475
RIL_28,0,118,1,0,0.0,0.9915966386554622,0.008333916940962253,0.0
RIL_30,0,117,2,0,0.0,0.9831932773109243,0.016669001260680768,0.0
RIL_31,117,1,1,0,0.9831932773109243,0.008334500630340384,0.008333921723628856,0.0
RIL_32,118,0,1,0,0.9915966386554622,0.0,0.008333916940962253,0.0
RIL_33,89,28,0,2,0.7478991596638656,0.2338245614035088,0.0,0.0166692054253995
RIL_34,0,119,0,0,0.0,1.0,0.0,0.0
RIL_35,0,119,0,0,0.0,1.0,0.0,0.0
RIL_37,118,0,1,0,0.9915966386554622,0.0,0.008333916940962253,0.0
RIL_38,0,119,0,0,0.0,1.0,0.0,0.0
RIL_39,78,3,27,11,0.6554621848739496,0.0250719853922326,0.22560059735017432,0.0917384254051597
RIL_40,2,114,0,3,0.01680672268907563,0.9578479135776318,0.0,0.025005281399602716
RIL_41,0,119,0,0,0.0,1.0,0.0,0.0
RIL_43,117,0,1,1,0.9831932773109243,0.0,0.008334500630340384,0.008333921723628856
RIL_45,107,3,4,5,0.8991596638655462,0.02502102607232969,0.03335440756807786,0.04168141664411339
RIL_46,31,29,20,39,0.2605042016806723,0.2431651634723788,0.16735887781728603,0.3258934144095224
RIL_47,3,77,25,14,0.025210084033613446,0.6469217735103078,0.20890410834963363,0.11678244091903771
RIL_48,118,0,0,1,0.9915966386554622,0.0,0.0,0.008333916940962253
RIL_49,7,79,10,23,0.058823529411764705,0.6635375494071146,0.0835265852585093,0.19197720953822808
RIL_50,1,108,0,10,0.008403361344537815,0.9074989408275668,0.0,0.08339177546945635
